2020-01-28 17:41:38 INFO  DriverFactory:71 - The driver executable does not exist: C:\Users\test\eclipse-workspace\emporio\src\main\java\com\test\emporio\Drivers\Windows\chromedriver.exe
2020-01-28 17:48:05 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (bf6640dfe809a6696c60f8752d37b94c)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-28 17:48:07 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (bf6640dfe809a6696c60f8752d37b94c)] -> css selector: #gh-search-input]for time : 10
2020-01-28 17:48:10 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (bf6640dfe809a6696c60f8752d37b94c)] -> css selector: .header-search-button]for time : 10
2020-01-28 22:30:12 INFO  TestBase:29 - Initialize Web driver: 1741786839
2020-01-28 22:30:12 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 22:30:12 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 22:30:12 INFO  Homepage:50 - log in to the app
2020-01-28 22:30:13 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_10_30_12.png
2020-01-28 22:30:23 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: .language-menu>ul>li>button[lang='e']'for time : 4
2020-01-28 22:33:44 INFO  TestBase:29 - Initialize Web driver: 1741786839
2020-01-28 22:33:44 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 22:33:44 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 22:33:44 INFO  Homepage:50 - log in to the app
2020-01-28 22:33:46 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_10_33_45.png
2020-01-28 22:33:56 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: .language-menu>ul>li>button[lang='e']'for time : 4
2020-01-28 22:34:26 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: #gh-search-input'for time : 10
2020-01-29 01:19:46 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:19:46 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:19:46 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:19:46 INFO  Homepage:50 - log in to the app
2020-01-29 01:19:47 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_19_47.png
2020-01-29 01:19:47 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:19:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:19:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:19:56 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:20:03 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7944386c4442ddb9843dc8d2f568c0bb)] -> css selector: fieldset[name='Price']>ul>li>div>div>div>label>div>input]for time : 10
2020-01-29 01:32:08 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:32:08 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:32:08 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:32:08 INFO  Homepage:50 - log in to the app
2020-01-29 01:32:10 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_32_09.png
2020-01-29 01:32:10 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:32:15 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:32:16 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:32:19 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a722232f845f62c492ca937adbd0af7d)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:33:42 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:33:42 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:33:42 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:33:42 INFO  Homepage:50 - log in to the app
2020-01-29 01:33:43 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_33_43.png
2020-01-29 01:33:43 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:33:49 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:33:49 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:33:52 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (3eb4cb117386188d52cd716130f1a364)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:43:50 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:43:50 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:43:50 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:43:50 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:43:50 INFO  Homepage:50 - log in to the app
2020-01-29 01:43:51 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_43_51.png
2020-01-29 01:43:51 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:43:57 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:43:57 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:44:01 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (11197512d8b4af8a2ed9325872926798)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:44:05 INFO  JavaScriptHelper:30 - scrolling to element
2020-01-29 01:45:03 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:45:03 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:45:03 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:45:04 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:45:04 INFO  Homepage:50 - log in to the app
2020-01-29 01:45:06 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_45_05.png
2020-01-29 01:45:06 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:45:13 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:45:14 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:45:17 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1622788240a8b108ca4dcb965b169443)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:45:21 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:46:57 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:46:57 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:46:57 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:46:57 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:46:57 INFO  Homepage:50 - log in to the app
2020-01-29 01:46:58 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_46_58.png
2020-01-29 01:46:58 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:47:03 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:47:04 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:47:07 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:47:11 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:47:11 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:47:16 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: div.fulfillment-add-to-cart-button>div>button]for time : 10
2020-01-29 01:47:18 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: span.success-text]for time : 10
2020-01-29 01:47:18 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: a.cart-nav]for time : 10
2020-01-29 01:47:21 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: a[aria-label='Update Location']]for time : 10
2020-01-29 01:47:21 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: input#location]for time : 10
2020-01-29 01:47:22 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: .btn.btn-secondary.btn-md]for time : 10
2020-01-29 01:47:22 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (a1fecb248bcb27d5b41fb904ccc12d56)] -> css selector: input[name='availability-selection']]for time : 10
2020-01-29 01:49:15 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:49:15 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:49:15 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:49:15 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:49:15 INFO  Homepage:50 - log in to the app
2020-01-29 01:49:16 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_49_16.png
2020-01-29 01:49:16 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1eac347c723c7610e6c5590dda088f0e)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:49:22 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1eac347c723c7610e6c5590dda088f0e)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:49:22 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1eac347c723c7610e6c5590dda088f0e)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:49:25 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1eac347c723c7610e6c5590dda088f0e)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:49:29 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:49:29 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:49:33 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (1eac347c723c7610e6c5590dda088f0e)] -> css selector: div.fulfillment-add-to-cart-button>div>button]for time : 10
2020-01-29 01:49:44 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: span.success-text'for time : 10
2020-01-29 01:51:04 INFO  TestBase:29 - Initialize Web driver: 838812606
2020-01-29 01:51:04 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:51:04 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:51:04 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:51:04 INFO  Homepage:50 - log in to the app
2020-01-29 01:51:06 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_51_05.png
2020-01-29 01:51:06 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:51:11 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:51:12 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:51:15 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:51:20 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:51:20 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:51:25 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: div.fulfillment-add-to-cart-button>div>button]for time : 10
2020-01-29 01:51:27 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: span.success-text]for time : 10
2020-01-29 01:51:27 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: a.cart-nav]for time : 10
2020-01-29 01:51:30 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: a[aria-label='Update Location']]for time : 10
2020-01-29 01:51:30 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: input#location]for time : 10
2020-01-29 01:51:30 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: .btn.btn-secondary.btn-md]for time : 10
2020-01-29 01:51:31 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (9af20d4ccd2dadcc71db784b2efd69bb)] -> css selector: .listing-header__button>button]for time : 10
2020-01-29 01:51:41 INFO  WaitHelper:87 - waiting for the element Proxy element for: DefaultElementLocator 'By.cssSelector: .button-wrap>a'for time : 10
2020-01-29 01:54:46 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:54:46 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:54:46 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:54:46 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:54:46 INFO  Homepage:50 - log in to the app
2020-01-29 01:54:48 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_54_47.png
2020-01-29 01:54:48 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (d6aed1528427b517ab8b5fe0b0cdc250)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:54:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (d6aed1528427b517ab8b5fe0b0cdc250)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:54:54 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (d6aed1528427b517ab8b5fe0b0cdc250)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:54:57 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (d6aed1528427b517ab8b5fe0b0cdc250)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:55:03 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:55:03 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:55:34 INFO  TestBase:29 - Initialize Web driver: 1533985074
2020-01-29 01:55:34 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:55:34 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:55:34 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:55:34 INFO  Homepage:50 - log in to the app
2020-01-29 01:55:35 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_55_35.png
2020-01-29 01:55:35 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (77fc544110d777e3dd798627b27668d1)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:55:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (77fc544110d777e3dd798627b27668d1)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:55:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (77fc544110d777e3dd798627b27668d1)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:55:46 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (77fc544110d777e3dd798627b27668d1)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:55:51 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:55:51 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:57:18 INFO  TestBase:29 - Initialize Web driver: 2002097394
2020-01-29 01:57:18 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:57:18 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:57:18 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:57:18 INFO  Homepage:50 - log in to the app
2020-01-29 01:57:19 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_57_19.png
2020-01-29 01:57:19 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:57:26 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:57:26 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:57:29 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:57:34 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:57:35 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:58:35 INFO  TestBase:29 - Initialize Web driver: 838812606
2020-01-29 01:58:35 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:58:35 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:58:35 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:58:35 INFO  Homepage:50 - log in to the app
2020-01-29 01:58:36 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_58_36.png
2020-01-29 01:58:36 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:58:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:58:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:58:45 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:58:50 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:58:50 INFO  JavaScriptHelper:48 - scrolling and clicking element
